region,hemi,network,region_x,SA,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
17Networks_LH_SalVentAttnB_PFCl_1,LH,SalVentAttnBPFCl,17Networks_LH_SalVentAttnB_PFCl_1,359.5,36.96097123184304,0.5789536819954749,60.677263073669316,2.4681489221001653,0.6112223460398977,6.5414527264064946,10.554131032039379,1.3687497444469745,18.208551141646364,2.084014487677447,34.98902141094425,887.8684617666039,21.01145096266285,3.8525768458979925,1.589124041544225,32.43092950978571,0.011180064709666133,7.5896547248906465,0.5398118255575611
17Networks_LH_SalVentAttnB_PFCmp_1,LH,SalVentAttnBPFCmp,17Networks_LH_SalVentAttnB_PFCmp_1,277.5,29.385288287990484,0.3302997931712874,53.86230248119938,2.208132756401048,0.39379253054135727,7.265542150090093,10.873777007115512,1.4019002654050523,16.768629828725206,-0.1318850720615701,30.871671215180427,794.8562286257587,22.84397109966529,3.5595612412612687,0.9473931716239502,32.26209830656092,0.12255611775337552,6.397145335120312,0.7518941709624034
17Networks_LH_LimbicB_OFC_1,LH,LimbicBOFC,17Networks_LH_LimbicB_OFC_1,295.5,26.245379707210752,-0.16143794265742906,52.36885528945756,2.0742976856028843,0.40552103301281833,4.606400821832594,10.308748887678181,1.3112942253424738,12.93235334014003,-0.4058122926848924,26.98974728667897,721.5491738291379,20.395386084659272,3.6486542872630685,0.361168390247427,24.382248593546645,0.07321516153134275,6.5705255144397885,0.14839666341651264
17Networks_LH_LimbicA_TempPole_1,LH,LimbicATempPole,17Networks_LH_LimbicA_TempPole_1,260.07142857142856,39.75236576627338,-0.5497600300474154,53.08826300092437,2.2959355490651174,0.3138834602394019,5.991542725243343,9.031470491901777,1.4033179292391382,17.77694095376188,0.9249391035553831,29.864571111847255,636.444420644924,18.766843768849462,3.7832040052633253,-0.07572612042158776,31.131652482640543,-0.09175471558819766,6.519508220189009,0.03311354066994926
17Networks_LH_LimbicA_TempPole_2,LH,LimbicATempPole,17Networks_LH_LimbicA_TempPole_2,260.07142857142856,39.75236576627338,-0.5497600300474154,53.08826300092437,2.2959355490651174,0.3138834602394019,5.991542725243343,9.031470491901777,1.4033179292391382,17.77694095376188,0.9249391035553831,29.864571111847255,636.444420644924,18.766843768849462,3.7832040052633253,-0.07572612042158776,31.131652482640543,-0.09175471558819766,6.519508220189009,0.03311354066994926
17Networks_LH_ContA_IPS_1,LH,ContAIPS,17Networks_LH_ContA_IPS_1,235.4,45.74090670338008,-1.9300575435323786,44.35164049018576,2.2816606993743322,0.29964263811476444,5.794462455575119,8.35658511775959,1.3384212883322106,13.373062903452459,1.3517827375033062,30.022470045493957,538.7992059393176,14.487578688616868,3.288316727282475,-0.9699134857983897,22.90031117486432,-0.11561383581205294,6.116168058224459,-0.16335017298698554
17Networks_LH_ContA_PFCl_1,LH,ContAPFCl,17Networks_LH_ContA_PFCl_1,283.5,28.349525463406067,0.26217197131410436,59.05751202827306,2.3766891736453544,0.46274045583751855,3.278747518375947,10.23138387382835,1.3224156529694875,12.577581957515813,0.1576775919058632,24.21323685824761,773.8724819961241,16.442047247145393,4.044418049703754,0.23334579271322511,21.41691258467958,0.02747982365734507,6.449517172213221,-0.19336515966867163
17Networks_LH_ContA_PFCl_2,LH,ContAPFCl,17Networks_LH_ContA_PFCl_2,283.5,28.349525463406067,0.26217197131410436,59.05751202827306,2.3766891736453544,0.46274045583751855,3.278747518375947,10.23138387382835,1.3224156529694875,12.577581957515813,0.1576775919058632,24.21323685824761,773.8724819961241,16.442047247145393,4.044418049703754,0.23334579271322511,21.41691258467958,0.02747982365734507,6.449517172213221,-0.19336515966867163
17Networks_LH_ContB_PFClv_1,LH,ContBPFClv,17Networks_LH_ContB_PFClv_1,375.6666666666667,28.87904401477436,1.000265657277845,56.94275044053621,2.1242492399858817,0.43834473880692887,4.143341890849739,11.103652557208996,1.2858023122777846,12.818766975338567,-0.513353449337744,27.266810413803526,767.4989046708737,16.50596699339073,3.268441886112496,0.3463991507977416,27.243502122893045,0.010433821346662417,6.37762996025683,-0.06461778242666757
17Networks_LH_ContC_pCun_1,LH,ContCpCun,17Networks_LH_ContC_pCun_1,147.66666666666666,23.646544186587445,-0.7832972968570414,46.972110849670834,2.0118680531130044,0.3323079696182328,4.5666642670902915,9.540857514612375,1.276940408588012,12.367082278021416,-0.4412155900067117,26.346981341646323,721.5565706136912,17.38825854914407,3.4623930373700307,-0.09194905821656181,17.1417367096339,0.01157428391548433,5.90481852055515,0.007873723253061257
