"age","ID"
0.254334581094303,102
NA,102
0.189578542552184,102
0.303693617693111,102
0.229546185088443,102
NA,102
0.422498612707761,102
NA,102
0.184129068057223,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
0.18918160383706,102
NA,102
NA,102
NA,102
0.258228199807492,102
NA,102
NA,102
0.237816566251215,102
NA,102
NA,102
NA,102
0.23862351325161,102
NA,102
NA,102
NA,102
NA,102
NA,102
0.236041289949312,102
0.195072211759508,102
NA,102
NA,102
0.275679183381963,102
NA,102
NA,102
0.260798787066675,102
NA,102
0.183620984789956,102
NA,102
0.187664331403118,102
0.178379806313122,102
0.208192328957171,102
NA,102
NA,102
NA,102
0.259752828014942,102
NA,102
NA,102
0.24150125897419,102
NA,102
0.263603101111676,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
0.17921375463187,102
0.203834193177169,102
NA,102
0.210479299083343,102
0.256869142957947,102
NA,102
0.335253279613553,102
0.210689386273444,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
NA,102
