age,ID,Condition,age,ID,Condition,age,ID,Condition
-0.829995881686121,sub-MBRC01AAM,individual,-0.829995881686121,sub-MBRC01AAM,individual,-0.829995881686121,sub-MBRC01AAM,individual
0.554875710135435,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.5637106263451418,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.21485245930750738,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.25307470711022195,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.29941999383395945,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.3949778712396387,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.25307470711022195,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.8450660830982356,sub-MBRC01AAM,individual,0.8450660830982356,sub-MBRC01AAM,individual,0.8450660830982356,sub-MBRC01AAM,individual
0.5617248441348983,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.20459230272168424,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.8955205642327491,sub-MBRC01AAM,individual,0.8955205642327491,sub-MBRC01AAM,individual,0.8955205642327491,sub-MBRC01AAM,individual
-0.7692441802180155,sub-MBRC01AAM,individual,-0.7692441802180155,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.6426018169655779,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.8955205642327491,sub-MBRC01AAM,individual,0.8955205642327491,sub-MBRC01AAM,individual,0.8955205642327491,sub-MBRC01AAM,individual
-0.2271898627190794,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.08854254556330617,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.35704815015766533,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.08574211870636289,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.5001709566363749,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.34229312913069715,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.19603272367151794,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.10038546114707418,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.6388951955371119,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.29941999383395945,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.36664712164145086,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.423012126088635,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.29941999383395945,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.2271898627190794,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.07250803446107,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.6304242598346032,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.132884496162675,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.08418530414979064,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.13341574027749686,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.28740455927263064,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.4009398381839856,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.005204472570749956,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.008410829409255798,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.28319170160971785,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.533997153136463,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.10536769641768651,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.08485323054134565,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.08418530414979064,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.08418530414979064,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.39771378657373924,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.08445197689522194,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.012481421558361775,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.5023340700650614,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.07250803446107,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.08445197689522194,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.19049153842518243,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.025277405486895624,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.1346254917507155,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.08418530414979064,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.715910949331014,sub-MBRC01ABF,individual,0.715910949331014,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.533997153136463,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.01478499065900743,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.1346254917507155,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.10536769641768651,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.17695008235630316,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.07428419162083645,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.07428419162083645,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.30464294083558247,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.09638021623376448,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.07786800296822871,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.132884496162675,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.7060914584814819,sub-MBRC01ABF,individual,-0.7060914584814819,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.3317340103466434,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.533997153136463,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.08418530414979064,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.030227668699149175,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.533997153136463,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.6575943499984266,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.31453623858626956,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
-0.1724419725999879,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.3615168793366137,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.15524416573995795,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.37298489733876056,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
0.3615168793366137,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual,NA,sub-MBRC01ABF,individual
